Size,Time
100,8800
200,23900
300,63000
400,104500
500,167600
600,452600
700,567900
800,322900
900,647900
1000,774100
1100,802500
1200,859000
1300,862500
1400,965500
1500,1111100
1600,1214900
1700,1344200
1800,1618600
1900,1692900
2000,1845400
2100,2366700
2200,2378700
2300,2522800
2400,3145600
2500,3109100
2600,3835500
2700,7230000
2800,4869100
2900,5410000
3000,6022800
3100,7696600
3200,15700200
3300,7578000
3400,5808600
3500,5832100
3600,6415300
3700,6420600
3800,7724700
3900,9986200
4000,9602200
4100,8520800
4200,9724700
4300,9172600
4400,9446000
4500,9690800
4600,9955400
4700,10347300
4800,11600600
4900,11284100
5000,13910400
5100,13113600
5200,13024500
5300,15093500
5400,14795700
5500,14966400
5600,19986900
5700,18019700
5800,17730000
5900,20037200
6000,17812000
6100,19531300
6200,21076200
6300,23321600
6400,20095600
6500,20459000
6600,21769000
6700,24888800
6800,24782500
6900,27643800
7000,23842200
7100,23954600
7200,26314700
7300,25841900
7400,31070000
7500,28434900
7600,34266900
7700,36223700
7800,29921800
7900,30246500
8000,32007400
8100,33337100
8200,40598500
8300,48980000
8400,52190200
8500,38426200
8600,46845000
8700,44226900
8800,41060700
8900,39616100
9000,41300000
9100,40360400
9200,42030700
9300,43091500
9400,43198300
9500,55781500
9600,54774600
9700,49788800
9800,53868400
9900,60010400
10000,60333700
